First_Name,Last_Name,Country,Bronze,Silver,Gold,Grand Total
 Gregory,Louganis,United States,0,1,4,5
 Christopher Paul,Mac Donald,New Zealand,1,1,3,5
 Lars Jörgen,Madsen,Denmark,1,2,2,5
 Carlo,Massullo,Italy,2,2,1,5
 Bradley,Mcgee,Australia,3,1,1,5
 Mary T.,Meagher,United States,1,1,3,5
 Franco,Menichelli,Italy,3,1,1,5
 William,Merz,United States,4,1,0,5
 Aldo,Montano,Italy,1,3,1,5
 Pablo,Morales,United States,0,2,3,5
 Daniel,Morelon,France,1,1,3,5
 Valentin,Muratov,Soviet Union,0,1,4,5
 John Phillips,Naber,United States,0,1,4,5
 Christian,Noël,France,4,0,1,5
 Lawrence Adam,Nuesslein,United States,2,1,2,5
 Jon,Olsen,United States,1,0,4,5
 Östen,Östensen,Norway,2,3,0,5
 Charles Ferdinand,Pahud De Mortanges,Netherlands,0,1,4,5
 Achille,Paroche,France,1,3,1,5
 Jerzy,Pawlowski,Poland,1,3,1,5
 Ramona,Portwich,East Germany,0,2,3,5
 Stanislav,Pozdnyakov,Unified team,1,0,4,5
 Galina,Prozumenschikova-Stepanova,Soviet Union,2,2,1,5
 Oreste,Puliti,Italy,0,1,4,5
 Mary-Lou,Retton,United States,2,2,1,5
 Michael,Reusch,Switzerland,0,4,1,5
 Aleksander,Romankov,Soviet Union,2,2,1,5
 Antonio,Rossi,Italy,1,1,3,5
 Ralf,Schumann,East Germany,0,2,3,5
 Jasna,Sekaric,Yugoslavia,1,3,1,5
 Melvin,Sheppard,United States,0,1,4,5
 Christine,Stueckelberger,Switzerland,1,3,1,5
 Viorica,Susanu,Romania,1,0,4,5
 Ecaterina,Szabo,Romania,0,1,4,5
 Miya,Tachibana,Japan,1,4,0,5
 Miho,Takeda,Japan,1,4,0,5
 Ryoko,Tani,Japan,1,2,2,5
 Henry,Taylor,United Kingdom,2,0,3,5
 Walter B. John,Tewksbury,United States,1,2,2,5
 Earl Foster,Thomson,United States,0,3,2,5
 Mark,Todd,New Zealand,2,1,2,5
 Gwen,Torrence,United States,1,1,3,5
 Ladislav,Vacha,Czechoslovakia,2,2,1,5
 Albertson,Van Zo Post,Cuba,2,1,2,5
 Johan Hübner,Von Holst,Sweden,1,2,2,5
 Katrin,Wagner-Augustin,Germany,1,0,4,5
 Nan,Wang,China,0,1,4,5
 Andreas,Wecker,East Germany,2,2,1,5
 Karl Magnus,Wegelius,Finland,4,1,0,5
 Malvin Groston,Whitfield,United States,1,1,3,5
 Edvin,Wide,Sweden,4,1,0,5
 Ni,Xiong,China,1,1,3,5
 Wei,Yang,China,0,2,3,5
 Giorgio,Zampori,Italy,1,0,4,5
 Emil,Zatopek,Czechoslovakia,0,1,4,5
 Erika,Zuchold,East Germany,1,4,0,5
